question_type,question,correct_answer
local,When is the earliest Britain had an imperialist policy?,the sixteenth century
local,When was the British East India Company established?,1599
local,Who chartered the British East India Company?,Queen Elizabeth
local,What happened to the East India Trading Company in 1767?,exploitation
local,Which country had trading posts in India before Britain?,the Portuguese
local,When did France take control of Algeria?,1830
local,When did France begin in earnest to rebuild its global empire?,1850
local,What religion did the French spread along with their imperialism?,Catholicism
local,Where did France focus its efforts to rebuild its empire?,Africa
local,When did French Republicans back building the French empire?,when Germany started to build her own
local,"Jules Ferry thought that the ""higher races"" have a duty to what?",civilize the inferior
local,What did France offer that was rare by imperial standards?,assimilation
global,How did france differ from Britain in managing its colonies?,small numbers of settlers
local,The French thought bringing what would uplift other regions?,Christianity and French culture
local,Where did the French send a large number of settlers?,Algeria
local,Where did Charles de Gaulle and the Free French run operations during World War 2?,overseas colonies
local,"After 1945, what challenged the French empire?",anti-colonial movements
local,Where did France lose a war in the 1950's?,Vietnam
local,Where did France win a war in the 1950's,Algeria
local,By when did most of France's Colonies gain independence?,1960
local,Where were the Germanic tribes originally located?,Scandinavia
local,What was the only region in Europe not conquered by the Germanic tribes?,Muslim Iberia
local,When did the Germanic tribes claim territory in north and west Europe?,middle period of classical antiquity
local,By when did the Germanic tribes conquer the Celtic peoples?,800 CE
local,Germany referred to which area more so than an actual country?,central Europe
local,Germany doesn't have an imperialistic past until when?,late 19th century
local,When was Otto von Bismarck born?,1862
local,When was the the second German empire founded?,after the Franco-German War
local,Who caused the dissolution of the Holy Roman Empire?,Napoleon
local,What was Germany's central interest?,Europe
local,"Besides Africa, where did Germany have imperial interests?",the South Pacific
global,Colonies were a sign of what amongst European countries?,prestige
local,When did Germany found their first settlement?,1884
local,What was the name of the first German settlement?,New Guinea
local,Who influenced Bismark besides his neighbors?,Hamburg merchants and traders
local,What happened as a result of the Russo-Japanese War?,Japan took part of Sakhalin Island
local,When was the first Sino-Japanese War?,1894
local,Which country did Japan force into an alliance?,Thailand
local,Which area of China did Japan conquer in 1931?,Manchuria
local,Who along with Russia supported post WW-II communist movements?,China
local,"When was the Russian Policy ""Indigenization"" defunded?",1932
local,"Who asserted Russia's right to ""self-determination?""",Lenin
local,After WW-II where did Russia apply its old Tsarist regimes?,Eastern Europe
local,Who had established the Russian empire to its former glory prior to 1921?,Bolshevik leaders
local,Trotsky thought what was needed for a true Russian revolution.,a world revolution
local,Who wrote that imperialism is the highest stage of capitalism?,Lenin
local,Who argued that the USSR had itself become an imperialist power?,Mao Zedong
local,Who was the leader of Russia in the 1960's?,Nikita Khrushchev
local,What policy did Stalin implement shortly after Lenin's Death?,socialism in one country
local,What was the first British empire based on?,mercantilism
local,When did Great Britain lose its colonies in North America?,1776
local,What policy gave Britain dominance in world trade?,free trade
local,When did the Spanish and Portuguese colonies gain their independance.,about 1820
local,When was the defeat of Napoleonic France?,1815
local,"By the late 19th century, which country had the largest empire ever to exist in the world?",The British Empire
global,What kinds of sciences were Social Darwinism and theories of race?,pseudo-sciences
local,Rudyard Kipling was an influential spokesman for what?,The British spirit of imperialism
local,In which continent besides Asia were major gains made by the British Empire in the late 19th century?,Middle East
local,How did the United States plan to subdue imperialistic tendencies?,the Monroe Doctrine
local,What was the name of Theodore Roosevelt’s policy of imperialism?,interventionism
local,What caused the US public to condemn the occupation of the philippines?,a war erupted
local,Which country besides the Cuba did the United states try to annex in 1898?,the Philippines
local,What did Smedley Butler call US foreign Policy?,"a ""racket"""
local,Who was the director of the American Geographical Society in 1914?,Isiah Bowman
local,When was Isiah Bowman appointed to President Wilson's Inquiry?,1917
local,Who besides Woodrow Wilson himself had the idea for the inquiry?,American delegation from the Paris Peace Conference
local,What was the premise of Woodrow Wilson's inquiry?,U.S authorship of a 'new world'
local,"What was Isiah Bowman nick name, as known by the public.",Wilson's geographer
global,Some people describe what between individuals or groups as imperialism or colonialism?,internal strife
global,the US expansion Westward could be viewed as what type of colonialism?,"""internal colonialism"""
local,How many Africans were brought into the United States during the slave trade?,12 to 15 million
local,Who does Edward Said say is being attacked by US imperialism?,the contemporary Orient
local,When did the Ottoman Empire fall?,1923
local,Who reigned over the Ottoman empire when it was at its most powerful.,Suleiman the Magnificent
local,How many provinces did the Ottoman empire contain in the 17th century?,32
local,"The Ottoman empire controlled territory on three continents, Africa, Asia and which other?",Europe
local,When was the Ottoman empire at its height?,During the 16th and 17th centuries
local,What was the capital of the Ottoman empire?,Istanbul
local,Who did the Ottoman empire ally with in WW I?,Germany
local,What ended Turkish imperial Ambitions?,World War I
local,Which country today is a remnant of the Ottoman empire?,Turkey
