question_type,source,question,correct_answer,matched_textbook,top_passages
global,gpt-4o-mini,"A survey was conducted in a US midwestern town in an effort to assess maternal mortality over the past year. The data from the survey are given in the table below: Women of childbearing age 250,000 Maternal deaths 2,500 Number of live births 100, 000 Number of deaths of women of childbearing age 7,500 Maternal death is defined as the death of a woman while pregnant or within 42 days of termination of pregnancy from any cause related to or aggravated by, the pregnancy. Which of the following is the maternal mortality rate in this midwestern town?","10 per 1,000 women",InternalMed_Harrison,"Maternal death is defined as death occurring during pregnancy or within 42 days of completion of pregnancy from a cause related to or aggravated by pregnancy, but not due to accident or incidental causes. From 1935 to 2007, the U.S. maternal death rate decreased from nearly 600/100,000 births to 12. | Saharan Africa and southern Asia, the maternal mortality rate is about 500/100,000 live births. The most common cause of maternal death in these countries is maternal hemorrhage. The high maternal death rates are due in part to inadequate contraceptive and family-planning services, an insufficient n | All sites 10 100% aThese are estimates based on extrapolations from a review of more than 3 million pregnancies (LH Smith et al: Am J Obstet Gynecol 184:1504, 2001). bBased on accumulating case reports from the literature; the precision of these data is not high."
local,gpt-4o-mini,"A 65-year-old woman presents to her primary care provider for shoulder pain. She reports that she initially thought the pain was due to ""sleeping funny"" on the arm, but that the pain has now lasted for 4 weeks. She denies trauma to the joint and says that the pain is worse when reaching overhead to retrieve things from her kitchen cabinets. On physical exam, the patient's shoulders are symmetric, and the right lateral shoulder is tender to palpation. The shoulder has full passive and active range of motion, although pain is reproduced on active abduction of the right arm above 90 degrees. Pain is also reproduced on passively internally rotating and then lifting the shoulder. The patient is able to resist elbow flexion without pain, and she otherwise has 5/5 strength. Which of the following is the most likely diagnosis?",Rotator cuff tendinopathy,InternalMed_Harrison,"Pain arising from the shoulder can on occasion mimic pain from the spine. If symptoms and signs of radiculopathy are absent, then the differential diagnosis includes mechanical shoulder pain (tendonitis, bursitis, rotator cuff tear, dislocation, adhesive capsulitis, or rotator cuff impingement under | Rotator cuff tendinitis or tear is a very common cause of shoulder pain. Nearly 30 percent of the elderly will have shoulder pain, with rotator cuff tendinitis or tear as the primary cause. The rotator cuff is formed by four tendons that attach the scapula to the proximal humerus (supraspinatus, inf | During the evaluation of shoulder disorders, the examiner should carefully note any history of trauma, fibromyalgia, infection, inflammatory disease, occupational hazards, or previous cervical disease. In addition, the patient should be questioned as to the activities or movement(s) that elicit shou"
local,gpt-4o-mini,"A 32-year-old woman is supposed to undergo tooth extraction surgery. Physical examination is unremarkable, and she has a blood pressure of 126/84 mm Hg and regular pulse of 72/min. She takes no medications. Which of the following cardiac conditions would warrant antibiotic prophylaxis to prevent infective endocarditis in this patient?",Past history of infective endocarditis,InternalMed_Harrison,"Endocarditis Prophylaxis Two major predisposing causes of infective endocarditis are a susceptible cardiovascular substrate and a source of bacteremia. The clinical and bacteriologic profile of infective endocarditis in patients with CHD has changed with the advent of intracardiac surgery and of pro | Nevertheless, studies in animal models suggest that antibiotic prophylaxis may be effective. Thus it is possible that rare cases of endocarditis are prevented. Weighing the potential benefits, potential adverse events, and costs associated with antibiotic prophylaxis, the American Heart Association  | To prevent endocarditis (long a goal in clinical practice), past expert committees have supported systemic antibiotic administration prior to many bacteremia-inducing procedures. A reappraisal of the evidence for antibiotic prophylaxis for endocarditis by the American Heart Association and the Europ"
global,gpt-4o-mini,"A codon is an mRNA sequence consisting of 3 nucleotides that codes for an amino acid. Each position can be made up of any 4 nucleotides (A, U, G, C); therefore, there are a total of 64 (4 x 4 x 4) different codons that can be created but they only code for 20 amino acids. This is explained by the wobble phenomenon. One codon for leucine is CUU, which of the following can be another codon coding for leucine?",CUA,Biochemistry_Lippincott,"Codons are composed of three nucleotide bases presented in the messenger RNA (mRNA) language of adenine (A), guanine (G), cytosine (C), and uracil (U). They are always written 5′→3′. Of the 64 possible three-base combinations, 61 code for the 20 standard amino acids and 3 signal termination of prote | Codons are presented in the mRNA language of adenine (A), guanine (G), cytosine (C), and uracil (U). Their nucleotide sequences are always written from the 5′-end to the 3′-end. The four nucleotide bases are used to produce the three-base codons. Therefore, 64 different combinations of bases exist,  | The presence of four different bases provides surprising genetic diversity. In the protein-coding regions of genes, the DNA bases are arranged into codons, a triplet of bases that specifies a particular amino acid. It is possible to arrange the four bases into 64 different triplet codons (43). Each"
local,gpt-4o-mini,"A 32-year-old woman presented for her annual physical examination. She mentioned that her family history had changed since her last visit: her mother was recently diagnosed with breast cancer and her sister tested positive for the BRCA2 mutation. The patient, therefore, requested testing as well. If the patient tests positive for the BRCA1 or BRCA2 mutation, which of the following is the best screening approach?","Twice-yearly clinical breast exams, annual mammography, annual breast MRI, and breast self-exams",InternalMed_Harrison,"Genetic screening for BRCA1 and BRCA2 mutations and other markers of breast cancer risk has identified a group of women at high risk for breast cancer. Unfortunately, when to begin and the optimal frequency of screening have not been defined. Mammography is less sensitive at detecting breast cancers | Germline mutations in BRCA1 and BRCA2 can be readily detected; patients with these mutations should be counseled appropriately. All women with strong family histories for breast cancer should be referred to genetic screening programs, particularly women of Ashkenazi Jewish descent who have a high li | Chapter 480e The Clinical Laboratory in Modern Health Care standard of care for a few genes (e.g., analysis of BRCA1 and BRCA2 in assessing the risk of breast and ovarian cancer in individuals with a strong family history of these disorders). As sequencing technologies become less expensive, they ca"
global,gpt-4o-mini,"DNA replication is a highly complex process where replication occurs on both strands of DNA. On the leading strand of DNA, replication occurs uninteruppted, but on the lagging strand, replication is interrupted and occurs in fragments called Okazaki fragments. These fragments need to be joined, which of the following enzymes is involved in the penultimate step before ligation can occur?",DNA polymerase I,Biochemistry_Lippincott,"Lagging strand: The strand that is being copied in the direction away from the replication fork is synthesized discontinuously, with small fragments of DNA being copied near the replication fork. These short stretches of discontinuous DNA, termed Okazaki fragments, are eventually joined (ligated) by | As the two strands unwind and separate, synthesis occurs at two replication forks that move away from the origin in opposite directions (bidirectionally), generating a replication bubble (see Fig. 30.9). [Note: The term “replication fork” derives from the Y-shaped structure in which the tines of the | In order for the two complementary strands of the parental dsDNA to be replicated, they must first separate (or “melt”) over a small region, because the polymerases use only ssDNA as a template. In prokaryotic organisms, DNA replication begins at a single, unique nucleotide sequence, a site called t"
local,gpt-4o-mini,A 35-year-old man presents with large tense blisters on the flexor surfaces of the upper extremities and trunk. The histologic findings show subepidermal blisters with an eosinophil-rich infiltrate. What is the most likely underlying pathology?,Linear band of immunoglobulin G (IgG) in the epidermal basement membrane,InternalMed_Harrison,"Biopsies of early lesional skin demonstrate subepidermal blisters and histologic features that roughly correlate with the clinical character of the particular lesion under study. Lesions on normal-appearing skin generally contain a sparse perivascular leukocytic infiltrate with some eosinophils; con | Biopsies of early lesions demonstrate intraepidermal vesicle formation secondary to loss of cohesion between epidermal cells (i.e., acantholytic blisters). Blister cavities contain acantholytic epidermal cells, which appear as round homogeneous cells containing hyperchromatic nuclei. Basal keratinoc | Biopsies of early lesional skin show teardrop-shaped subepidermal vesicles forming in dermal papillae in association with an eosinophilrich leukocytic infiltrate. Differentiation of PG from other subepidermal bullous diseases by light microscopy is difficult. However, direct immunofluorescence micro"
local,gpt-4o-mini,"A 55-year-old woman presents to a physician’s clinic for a diabetes follow-up. She recently lost weight and believes the diabetes is ‘winding down’ because the urinary frequency has slowed down compared to when her diabetes was ""at its worst"". She had been poorly compliant with medications, but she is now asking if she can decrease her medications as she feels like her diabetes is improving. Due to the decrease in urinary frequency, the physician is interested in interrogating her renal function. Which substance can be used to most accurately assess the glomerular filtration rate (GFR) in this patient?",Inulin,InternalMed_Harrison,"range for this analyte when attempting to gauge a patient’s renal function. A large decrease in glomerular filtration rate (GFR) is associated with slight increases in the plasma creatinine concentration within the typical reference range provided by many laboratories (Fig. 480e-2). A 60-year-old wh | Stages 1 and 2 CKD are usually not associated with any symptoms arising from the decrement in GFR. If the decline in GFR progresses to stages 3 and 4, clinical and laboratory complications of CKD become reCOMMenDeD equatIOns FOr estIMatIOn OF gLOMeruLar FILtratIOn rate (gFr) usIng seruM CreatInIne C | FIGURE 419-3 Time course of development of diabetic nephropathy. The relationship of time from onset of diabetes, the glomerular filtration rate (GFR), and the serum creatinine are shown. (Adapted from RA DeFranzo, in Therapy for Diabetes Mellitus and Related Disorders, 3rd ed. American Diabetes Ass"
local,gpt-4o-mini,"A 32-year-old G0P0 female complains of unsuccessful pregnancy since discontinuing an oral contraceptive 12 months ago. She reports menarche at age 15 and has had irregular periods since. She had occasional spotting while taking an oral contraceptive, but she has not had a “normal period” since discontinuing the pill. She currently denies having any hot flashes. Physical examination reveals normal height and BMI. A speculum examination shows atrophic vagina. Thyroid-stimulating hormone and prolactin concentrations are within normal limits. The patient tests negative for a qualitative serum beta‐hCG. The laboratory findings include a follicle-stimulating hormone (FSH) level of 56 mIU/mL and an estradiol level of <18 pmol/L, confirmed by 2 separate readings within 2 months. Based on her history, physical examination, and laboratory findings, what is the most likely cause of her infertility?",Primary ovarian insufficiency,InternalMed_Harrison,"Abnormalities in menstrual function constitute the most common cause of female infertility. These disorders, which include ovulatory dysfunction and abnormalities of the uterus or outflow tract, may present as amenorrhea or as irregular or short menstrual cycles. A careful history and physical exami | Disorders of Ovulation Once uterus and outflow tract abnormalities have been excluded, other causes of amenorrhea involve disorders of ovulation. The differential diagnosis is based on the results of initial tests, including a pregnancy test, an FSH level (to determine whether the cause is likely to | Neuroanatomic abnormality or idiopathic hypogonadotropic hypogonadism Hypothalamic amenorrhea 2° amenorrheaR/O drugs, °TSH 1° amenorrhea, short stature or clinical suspicion Hyperandrogenism ° testosterone, hirsutism, acne R/O tumor R/O 21 hydroxylase deficiency Polycystic ovarian syndrome Increased"
local,gpt-4o-mini,"A 55-year-old woman presents with acute onset abdominal pain radiating to her back, nausea, and vomiting. CT scan suggests a diagnosis of acute pancreatitis. The pathogenesis of acute pancreatitis relates to inappropriate activation of trypsinogen to trypsin. Which of the following activates trypsin in normal digestion?",Enterokinase,InternalMed_Harrison,"Several recent studies have suggested that pancreatitis is a disease that evolves in three phases. The initial phase is characterized by intrapancreatic digestive enzyme activation and acinar cell injury. Trypsin activation appears to be mediated by lysosomal hydrolases such as cathepsin B that beco | Whitcomb and associates studied several large families with hereditary chronic pancreatitis and were able to identify a genetic defect that affects the gene encoding for trypsinogen. Several additional defects of this gene have also been described. The defect prevents the destruction of prematurely  | Any severe acute pain in the abdomen or back should suggest the possibility of acute pancreatitis. The diagnosis is established by two of the following three criteria: (1) typical abdominal pain in the epigastrium that may radiate to the back, (2) threefold or greater elevation in serum lipase and/o"
local,gpt-4o-mini,"A 27-year-old woman who resides in an area endemic for chloroquine-resistant P. falciparum malaria presents to the physician with fatigue, malaise, and episodes of fever with chills over the last 5 days. She mentions that she has episodes of shivering and chills on alternate days that last for approximately 2 hours, followed by high-grade fevers; then she has profuse sweating and her body temperature returns to normal. She also mentions that she is currently in her 7th week of pregnancy. The physical examination reveals the presence of mild splenomegaly. A peripheral blood smear confirms the diagnosis of P. falciparum infection. Which of the following is the most appropriate anti-malarial treatment for the woman?",Quinine sulfate plus clindamycin,InternalMed_Harrison,"P. falciparum should be used (atovaquone-proguanil [Malarone], doxycycline, or mefloquine). Chemoprophylaxis is never entirely reliable, and malaria should always be considered in the differential diagnosis of fever in patients who have traveled to endemic areas, even if they are taking prophylactic | Infections due to sensitive strains of P. vivax, P. knowlesi, P. malariae, and P. ovale should be treated with oral chloroquine (total dose, 25 mg of base/kg) or with an ATC known to be efficacious. In much of the tropics, drug-resistant P. falciparum has been increasing in distribution, frequency,  | Quinidine (10 mg of base/kgi infused over 1–2 h, followed by 1.2 mg of base/kg per hourj with electrocardiographic monitoring) aIn endemic areas, except in pregnant women and infants, a single dose of primaquine (0.25 mg of base/kg) should be added as a gametocytocide to all falciparum malaria treat"
local,gpt-4o-mini,"A 15-year-old male adolescent presents to the pediatrician with his parents complaining that he is shorter than his peers. His past medical history does not suggest any specific recurrent or chronic disease. There is no history of weight gain, weight loss, constipation, dry skin, headache. Both his parents are of normal height. On physical examination, he is a well-fed, well-developed male and his vital signs are within normal range. His physical examination is completely normal. His sexual development corresponds to Tanner stage 2. Analysis of his growth charts suggests that his height and weight at birth were within normal range. After the age of six months, his height and weight curves drifted further from average and approached the 5th percentile. An X-ray of the patient’s left hand reveals delayed bone age. Which of the following is the most likely cause of short stature in the boy?",Constitutional growth delay,InternalMed_Harrison,"Short stature may occur as a result of constitutive intrinsic growth defects or because of acquired extrinsic factors that impair growth. In general, delayed bone age in a child with short stature is suggestive of a hormonal or systemic disorder, whereas normal bone age in a short child is more like | Linear bone growth rates are very high in infancy and are pituitary-dependent. Mean growth velocity is ~6 cm/year in later childhood and usually is maintained within a given range on a standardized percentile chart. Peak growth rates occur during midpuberty when bone age is 12 (girls) or 13 (boys).  | Reassurance without hormonal treatment is appropriate for many individuals with presumed constitutional delay of puberty. However, the impact of delayed growth and pubertal progression on a child’s social relationships and school performance should be weighed. Also, boys with constitutional delay of"
local,gpt-4o-mini,"A 3-week-old newborn is brought to the pediatrician by his mother. His mother is concerned about her son’s irritability and vomiting, particularly after breastfeeding him. The infant was born at 39 weeks via spontaneous vaginal delivery. His initial physical was benign. Today the newborn appears mildly jaundiced with palpable hepatomegaly, and his eyes appear cloudy, consistent with the development of cataracts. The newborn is also in the lower weight-age percentile. The physician considers a hereditary enzyme deficiency and orders blood work and a urinalysis to confirm his diagnosis. He recommends that milk and foods high in galactose and/or lactose be eliminated from the diet. Which of the following is the most likely deficient enzyme in this metabolic disorder?",Galactose-1-phosphate uridyl transferase,Biochemistry_Lippincott,"Correct answer = A. The symptoms suggest hereditary fructose intolerance, a deficiency in aldolase B. Deficiencies in fructokinase or galactokinase result in relatively benign conditions characterized by elevated levels of fructose or galactose in the blood and urine. Deficiency in β-galactosidase ( | “Classic” galactosemia is caused by galactose 1-phosphate uridyltransferase (GALT) deficiency. It is a serious disease with an incidence of 1 in 60,000 and an early onset of symptoms. The newborn infant normally receives up to 40% of caloric intake as lactose (glucose + galactose). Without the trans | A deficiency of one of the key enzymes required for the entry of fructose into metabolic pathways can result in either a benign condition as a result of fructokinase deficiency (essential fructosuria) or a severe disturbance of liver and kidney metabolism as a result of aldolase B deficiency (heredi"
local,gpt-4o-mini,"A 31-year-old woman presents to her gynecologist for cervical cancer screening. She has no complaints and is sexually active. There is no history of cervical cancer or other malignancy in her family. A complete physical examination, including an examination of the genitourinary system, is normal. A sampling of the cervix is performed at the transformation zone and is sent for a Papanicolaou (Pap) smear examination and high-risk human papillomavirus (HPV) DNA testing. After examination of the smear, the cytopathologist informs the gynecologist that it is negative for high-grade squamous intraepithelial lesions, but that atypical squamous cells are present in the sample and it is difficult to distinguish between reactive changes and low-grade squamous intraepithelial lesion. Atypical glandular cells are not present. The high-risk HPV DNA test is positive. Which of the following is the next best step in this patient’s management?",Colposcopy,InternalMed_Harrison,"The primary method used for cancer screening is cervical cytology via Pap smear. The guidelines of the American Society of Colposcopy and Cervical Pathology recommend initiation of cervical cancer screening at age 21, regardless of the age of sexual debut. Women 21–29 years old with a normal Pap sme | cervical cancer Screening with Papanicolaou (Pap) smears decreases cervical cancer mortality. The cervical cancer mortality rate has fallen substantially since the widespread use of the Pap smear. With the onset of sexual activity comes the risk of sexual transmission of HPV, the fundamental etiolog | Approximately 95% of all cervical cancer is caused by human papillomavirus (HPV) infections, with types 16 and 18 accounting for about 70% of cervical cancer. The rate of carriage of these serotypes is highest among women in their early twenties and can be reduced with the use of vaccination before"
local,gpt-4o-mini,"A 19-year-old woman presents to an outpatient psychiatrist after 2 weeks of feeling “miserable.” She has been keeping to herself during this time with no desire to socialize with her friends or unable to enjoy her usual hobbies. She also endorses low energy, difficulty concentrating and falling asleep, and decreased appetite. You diagnose a major depressive episode but want to screen for bipolar disorder before starting her on an anti-depressant. Which of the following cluster of symptoms, if previously experienced by this patient, would be most consistent with bipolar I disorder?","Impulsivity, insomnia, increased energy, irritability, and auditory hallucinations for 2 weeks",InternalMed_Harrison,"BIPOLAR DISORDER Clinical Manifestations Bipolar disorder is characterized by unpredictable swings in mood from mania (or hypomania) to depression. Some patients suffer only from recurrent attacks of mania, which in its pure form is associated with increased psychomotor activity; excessive social ex | 2718 Bipolar disorder is common, affecting ~1.5% of the population in the United States. Onset is typically between 20 and 30 years of age, but many individuals report premorbid symptoms in late childhood or early adolescence. The prevalence is similar for men and women; women are likely to have mor | Manic episodes typically emerge over a period of days to weeks, but onset within hours is possible, usually in the early morning hours. An untreated episode of either depression or mania can be as short as several weeks or last as long as 8–12 months, and rare patients have an unremitting chronic co"
global,gpt-4o-mini,"A newborn is found to have cystic fibrosis during routine newborn screening. The parents, both biochemists, are curious about the biochemical basis of their newborn's condition. The pediatrician explains that the mutation causing cystic fibrosis affects the CFTR gene which codes for the CFTR channel. Which of the following correctly describes the pathogenesis of the most common CFTR mutation?",Defective post-translational glycosylation of the CFTR channel,Biochemistry_Lippincott,"Prenatal diagnosis and carrier detection of cystic fibrosis: Cystic fibrosis is an autosomal-recessive genetic disease resulting from mutations in the gene for the cystic fibrosis transmembrane conductance regulator (CFTR) protein. The most common mutation is a three-base deletion that results in th | Several other groups of investigators have documented mutations of CFTR. This gene functions as a cyclic AMP–regulated chloride channel. In patients with cystic fibrosis, the high concentration of macromolecules can block the pancreatic ducts. It must be appreciated, however, that there is a great d | FIGURE 313-2 Categories of CFTR mutations. Classes of defects in the CFTR gene include the absence of synthesis (class I); defective protein maturation and premature degradation (class II); disordered gating/regulation, such as diminished adenosine triphosphate (ATP) binding and hydrolysis (class II"
