question_type,source,question,answer,persona,task,chunk_id,chunk,file_path,retrieved_contexts
One Fact,gpt-4o,What defines a phenotype that is not seen in patients with a specific disease?,A phenotype absent is a trait that is specifically excluded or not seen in patients with the disease.,"Dr. Lucas Nguyen, a Clinical Geneticist",Enhance understanding of disease-phenotype relationships for better diagnosis,2,"** | synergistic interaction | When the combined effect of two drugs is greater than the sum of their separate parts. |
| **drug_effect** | side effect | Secondary, usually adverse, physical effects caused by a drug. |
| **drug_protein (target)** | target | The specific protein that a drug is designed to bind to for therapeutic effect. |
| **drug_protein (enzyme)** | enzyme | The protein (usually in the liver) responsible for metabolizing/breaking down the drug. |
| **drug_protein (carrier)** | carrier | Proteins that help transport the drug through the blood or across membranes. |
| **drug_protein (transporter)** | transporter | Proteins that actively pump drug molecules into or out of cells. |
| **disease_phenotype_positive** | phenotype present | **Symptoms:** A trait or symptom that is a known clinical manifestation of the disease. |
| **disease_phenotype_negative** | phenotype absent | A trait that is specifically excluded or not seen in patients with this disease. |
| **disease_protein** | associated with | A genetic or molecular link where a protein's behavior is tied to disease onset. |
| **disease_disease** | parent-child | Hierarchical link (e.g., ""Type 2 Diabetes"" is a child of ""Diabetes Mellitus""). |
| **pathway_protein** | interacts with | Connects a protein to the biochemical pathway it ""works"" in. |
| **pathway_pathway** | parent-child | Hierarchical link between broad pathways and specific sub-pathways. |
| **bioprocess_protein** | interacts with | Links a protein to a specific biological goal (e.g., ""Cellular Respiration""). |
|",your_data.txt,[]
Local Direct,gpt-4o,How are proteins linked to the onset of diseases?,Proteins are associated with diseases through genetic or molecular links where their behavior is tied to disease onset.,"Dr. Lucas Nguyen, a Clinical Geneticist",Enhance understanding of disease-phenotype relationships for better diagnosis,2,"** | synergistic interaction | When the combined effect of two drugs is greater than the sum of their separate parts. |
| **drug_effect** | side effect | Secondary, usually adverse, physical effects caused by a drug. |
| **drug_protein (target)** | target | The specific protein that a drug is designed to bind to for therapeutic effect. |
| **drug_protein (enzyme)** | enzyme | The protein (usually in the liver) responsible for metabolizing/breaking down the drug. |
| **drug_protein (carrier)** | carrier | Proteins that help transport the drug through the blood or across membranes. |
| **drug_protein (transporter)** | transporter | Proteins that actively pump drug molecules into or out of cells. |
| **disease_phenotype_positive** | phenotype present | **Symptoms:** A trait or symptom that is a known clinical manifestation of the disease. |
| **disease_phenotype_negative** | phenotype absent | A trait that is specifically excluded or not seen in patients with this disease. |
| **disease_protein** | associated with | A genetic or molecular link where a protein's behavior is tied to disease onset. |
| **disease_disease** | parent-child | Hierarchical link (e.g., ""Type 2 Diabetes"" is a child of ""Diabetes Mellitus""). |
| **pathway_protein** | interacts with | Connects a protein to the biochemical pathway it ""works"" in. |
| **pathway_pathway** | parent-child | Hierarchical link between broad pathways and specific sub-pathways. |
| **bioprocess_protein** | interacts with | Links a protein to a specific biological goal (e.g., ""Cellular Respiration""). |
|",your_data.txt,[]
Global,gpt-4o,What are the main types of interactions involving proteins as described in the corpus?,"The corpus describes several main types of interactions involving proteins: 'bioprocess_protein' links a protein to a biological process, 'molfunc_protein' connects a protein to its molecular task, 'cellcomp_protein' links a protein to a cellular structure, 'anatomy_protein_present' indicates protein expression in an organ or tissue, and 'anatomy_protein_absent' indicates the absence of protein expression in a specific tissue.",Dr. Emily Martinez - Academic Researcher in Molecular Biology,Understand protein interactions in cellular pathways.,3,"archical link between broad pathways and specific sub-pathways. |
| **bioprocess_protein** | interacts with | Links a protein to a specific biological goal (e.g., ""Cellular Respiration""). |
| **bioprocess_bioprocess** | parent-child | Hierarchy of biological processes. |
| **molfunc_protein** | interacts with | Connects a protein to its specific molecular task (e.g., ""DNA Binding""). |
| **molfunc_molfunc** | parent-child | Hierarchy of molecular functions. |
| **cellcomp_protein** | interacts with | Links a protein to the cellular structure where it is located (e.g., ""Ribosome""). |
| **cellcomp_cellcomp** | parent-child | Hierarchy of cellular locations. |
| **anatomy_protein_present** | expression present | Indicates the protein is physically found in this specific organ or tissue. |
| **anatomy_protein_absent** | expression absent | Indicates the protein is specifically not expressed in this tissue. |
| **anatomy_anatomy** | parent-child | Anatomical hierarchy (e.g., ""Aorta"" is a child of ""Circulatory System""). |
| **phenotype_protein** | associated with | Direct link between a clinical symptom and a specific protein's activity. |
| **phenotype_phenotype** | parent-child | Hierarchy of observable physical traits. |
| **exposure_disease** | linked to | Environmental stressors (toxins/chemicals) that can cause or trigger a disease. |
| **exposure_protein/molfunc/etc** | interacts with | How an environmental factor affects specific molecular or cellular components. |
| **exposure_",your_data.txt,[]
Local Direct,gpt-4o,"How is a protein's interaction with molecular functions, processes, and cellular locations organized in the corpus?","In the corpus, proteins are linked to molecular functions via 'molfunc_protein', to biological processes via 'bioprocess_protein', and to cellular structures via 'cellcomp_protein'. Each of these is organized hierarchically, with 'molfunc_molfunc', 'bioprocess_bioprocess', and 'cellcomp_cellcomp' respectively representing the hierarchies.",Dr. Emily Martinez - Academic Researcher in Molecular Biology,Understand protein interactions in cellular pathways.,3,"archical link between broad pathways and specific sub-pathways. |
| **bioprocess_protein** | interacts with | Links a protein to a specific biological goal (e.g., ""Cellular Respiration""). |
| **bioprocess_bioprocess** | parent-child | Hierarchy of biological processes. |
| **molfunc_protein** | interacts with | Connects a protein to its specific molecular task (e.g., ""DNA Binding""). |
| **molfunc_molfunc** | parent-child | Hierarchy of molecular functions. |
| **cellcomp_protein** | interacts with | Links a protein to the cellular structure where it is located (e.g., ""Ribosome""). |
| **cellcomp_cellcomp** | parent-child | Hierarchy of cellular locations. |
| **anatomy_protein_present** | expression present | Indicates the protein is physically found in this specific organ or tissue. |
| **anatomy_protein_absent** | expression absent | Indicates the protein is specifically not expressed in this tissue. |
| **anatomy_anatomy** | parent-child | Anatomical hierarchy (e.g., ""Aorta"" is a child of ""Circulatory System""). |
| **phenotype_protein** | associated with | Direct link between a clinical symptom and a specific protein's activity. |
| **phenotype_phenotype** | parent-child | Hierarchy of observable physical traits. |
| **exposure_disease** | linked to | Environmental stressors (toxins/chemicals) that can cause or trigger a disease. |
| **exposure_protein/molfunc/etc** | interacts with | How an environmental factor affects specific molecular or cellular components. |
| **exposure_",your_data.txt,[]
Global,gpt-4o,What overarching relationships involving environmental stressors are defined in the corpus?,"The corpus defines environmental stressors (toxins/chemicals) as interacting with various molecular or cellular components with the label 'exposure_protein/molfunc/etc'. Additionally, it describes 'exposure_disease' as linking environmental stressors directly to the cause or trigger of diseases.",Laura Kim - Environmental Health Scientist,Explore the effects of environmental stressors on human health.,3,"archical link between broad pathways and specific sub-pathways. |
| **bioprocess_protein** | interacts with | Links a protein to a specific biological goal (e.g., ""Cellular Respiration""). |
| **bioprocess_bioprocess** | parent-child | Hierarchy of biological processes. |
| **molfunc_protein** | interacts with | Connects a protein to its specific molecular task (e.g., ""DNA Binding""). |
| **molfunc_molfunc** | parent-child | Hierarchy of molecular functions. |
| **cellcomp_protein** | interacts with | Links a protein to the cellular structure where it is located (e.g., ""Ribosome""). |
| **cellcomp_cellcomp** | parent-child | Hierarchy of cellular locations. |
| **anatomy_protein_present** | expression present | Indicates the protein is physically found in this specific organ or tissue. |
| **anatomy_protein_absent** | expression absent | Indicates the protein is specifically not expressed in this tissue. |
| **anatomy_anatomy** | parent-child | Anatomical hierarchy (e.g., ""Aorta"" is a child of ""Circulatory System""). |
| **phenotype_protein** | associated with | Direct link between a clinical symptom and a specific protein's activity. |
| **phenotype_phenotype** | parent-child | Hierarchy of observable physical traits. |
| **exposure_disease** | linked to | Environmental stressors (toxins/chemicals) that can cause or trigger a disease. |
| **exposure_protein/molfunc/etc** | interacts with | How an environmental factor affects specific molecular or cellular components. |
| **exposure_",your_data.txt,[]
One Fact,gpt-4o,How is the interaction between environmental stressors and diseases characterized in the corpus?,"The interaction between environmental stressors and diseases in the corpus is characterized with the relationship label 'exposure_disease', indicating a link where stressors cause or trigger diseases.",Laura Kim - Environmental Health Scientist,Explore the effects of environmental stressors on human health.,3,"archical link between broad pathways and specific sub-pathways. |
| **bioprocess_protein** | interacts with | Links a protein to a specific biological goal (e.g., ""Cellular Respiration""). |
| **bioprocess_bioprocess** | parent-child | Hierarchy of biological processes. |
| **molfunc_protein** | interacts with | Connects a protein to its specific molecular task (e.g., ""DNA Binding""). |
| **molfunc_molfunc** | parent-child | Hierarchy of molecular functions. |
| **cellcomp_protein** | interacts with | Links a protein to the cellular structure where it is located (e.g., ""Ribosome""). |
| **cellcomp_cellcomp** | parent-child | Hierarchy of cellular locations. |
| **anatomy_protein_present** | expression present | Indicates the protein is physically found in this specific organ or tissue. |
| **anatomy_protein_absent** | expression absent | Indicates the protein is specifically not expressed in this tissue. |
| **anatomy_anatomy** | parent-child | Anatomical hierarchy (e.g., ""Aorta"" is a child of ""Circulatory System""). |
| **phenotype_protein** | associated with | Direct link between a clinical symptom and a specific protein's activity. |
| **phenotype_phenotype** | parent-child | Hierarchy of observable physical traits. |
| **exposure_disease** | linked to | Environmental stressors (toxins/chemicals) that can cause or trigger a disease. |
| **exposure_protein/molfunc/etc** | interacts with | How an environmental factor affects specific molecular or cellular components. |
| **exposure_",your_data.txt,[]
Global,gpt-4o,What is the main methodology used for resolving disease entities in PrimeKG?,"The main methodology used for resolving disease entities in PrimeKG is the use of ClinicalBERT, an NLP model, to calculate semantic similarity between terms. Terms with a cosine similarity of ≥ 0.98 are merged into a single node_index, which helps in collapsing nearly 22,000 raw disease terms into 17,080 meaningful nodes, reducing redundancy.","Dr. Sarah Collins, The Clinical Researcher",Understanding Disease Entity Resolution,4,"ins/chemicals) that can cause or trigger a disease. |
| **exposure_protein/molfunc/etc** | interacts with | How an environmental factor affects specific molecular or cellular components. |
| **exposure_exposure** | parent-child | Hierarchy of environmental exposures. |

## 4. Technical Methodologies

### A. Disease Entity Resolution (Grouping)
To prevent ""noise,"" the researchers collapsed nearly **22,000** raw disease terms into **17,080** meaningful nodes.
* **The Problem:** Ontologies often have redundant terms for the same condition (e.g., ""Infantile Autism"" vs ""Autism, Infantile"").
* **The Solution:** Used **ClinicalBERT** (NLP Model) to calculate semantic similarity.
* **The Threshold:** Terms with a **cosine similarity ≥ 0.98** were merged into a single `node_index`.

### B. Multimodality (Features vs. Edges)
PrimeKG is a **multimodal** graph, meaning it uses two types of data:
1.  **Structural Edges:** Mathematical links (e.g., `Protein-A interacts-with Protein-B`) used for graph algorithms.
2.  **Textual Features:** Large blocks of text (descriptions, symptoms, epidemiology) from **Mayo Clinic** and **Orphanet** stored directly inside the disease nodes.



---

## 5. Clinical Validation
The utility of PrimeKG was proven through a **Drug Repurposing Case Study**:
* **The Test:** Researchers checked the ""network distance"" between drugs and diseases they were approved for *after* the graph was built.
* **The Result:** In **80% of cases**, the",your_data.txt,[]
One Fact,gpt-4o,What is the minimum cosine similarity threshold used by ClinicalBERT for merging disease terms?,The minimum cosine similarity threshold used by ClinicalBERT for merging disease terms is 0.98.,"Dr. Sarah Collins, The Clinical Researcher",Understanding Disease Entity Resolution,4,"ins/chemicals) that can cause or trigger a disease. |
| **exposure_protein/molfunc/etc** | interacts with | How an environmental factor affects specific molecular or cellular components. |
| **exposure_exposure** | parent-child | Hierarchy of environmental exposures. |

## 4. Technical Methodologies

### A. Disease Entity Resolution (Grouping)
To prevent ""noise,"" the researchers collapsed nearly **22,000** raw disease terms into **17,080** meaningful nodes.
* **The Problem:** Ontologies often have redundant terms for the same condition (e.g., ""Infantile Autism"" vs ""Autism, Infantile"").
* **The Solution:** Used **ClinicalBERT** (NLP Model) to calculate semantic similarity.
* **The Threshold:** Terms with a **cosine similarity ≥ 0.98** were merged into a single `node_index`.

### B. Multimodality (Features vs. Edges)
PrimeKG is a **multimodal** graph, meaning it uses two types of data:
1.  **Structural Edges:** Mathematical links (e.g., `Protein-A interacts-with Protein-B`) used for graph algorithms.
2.  **Textual Features:** Large blocks of text (descriptions, symptoms, epidemiology) from **Mayo Clinic** and **Orphanet** stored directly inside the disease nodes.



---

## 5. Clinical Validation
The utility of PrimeKG was proven through a **Drug Repurposing Case Study**:
* **The Test:** Researchers checked the ""network distance"" between drugs and diseases they were approved for *after* the graph was built.
* **The Result:** In **80% of cases**, the",your_data.txt,[]
Local Direct,gpt-4o,What types of data does PrimeKG provide for use in bioinformatics tools?,"PrimeKG provides multimodal data, including Structural Edges (mathematical links like 'Protein-A interacts-with Protein-B' for graph algorithms) and Textual Features (large blocks of text like descriptions, symptoms, and epidemiology from Mayo Clinic and Orphanet) stored directly inside the disease nodes.","Alex Reed, The Bioinformatics Software Developer",Integrating PrimeKG into Bioinformatics Tools,4,"ins/chemicals) that can cause or trigger a disease. |
| **exposure_protein/molfunc/etc** | interacts with | How an environmental factor affects specific molecular or cellular components. |
| **exposure_exposure** | parent-child | Hierarchy of environmental exposures. |

## 4. Technical Methodologies

### A. Disease Entity Resolution (Grouping)
To prevent ""noise,"" the researchers collapsed nearly **22,000** raw disease terms into **17,080** meaningful nodes.
* **The Problem:** Ontologies often have redundant terms for the same condition (e.g., ""Infantile Autism"" vs ""Autism, Infantile"").
* **The Solution:** Used **ClinicalBERT** (NLP Model) to calculate semantic similarity.
* **The Threshold:** Terms with a **cosine similarity ≥ 0.98** were merged into a single `node_index`.

### B. Multimodality (Features vs. Edges)
PrimeKG is a **multimodal** graph, meaning it uses two types of data:
1.  **Structural Edges:** Mathematical links (e.g., `Protein-A interacts-with Protein-B`) used for graph algorithms.
2.  **Textual Features:** Large blocks of text (descriptions, symptoms, epidemiology) from **Mayo Clinic** and **Orphanet** stored directly inside the disease nodes.



---

## 5. Clinical Validation
The utility of PrimeKG was proven through a **Drug Repurposing Case Study**:
* **The Test:** Researchers checked the ""network distance"" between drugs and diseases they were approved for *after* the graph was built.
* **The Result:** In **80% of cases**, the",your_data.txt,[]
One Fact,gpt-4o,What are the sources of the textual features stored in the disease nodes of PrimeKG?,The sources of the textual features stored in the disease nodes of PrimeKG are the Mayo Clinic and Orphanet.,"Alex Reed, The Bioinformatics Software Developer",Integrating PrimeKG into Bioinformatics Tools,4,"ins/chemicals) that can cause or trigger a disease. |
| **exposure_protein/molfunc/etc** | interacts with | How an environmental factor affects specific molecular or cellular components. |
| **exposure_exposure** | parent-child | Hierarchy of environmental exposures. |

## 4. Technical Methodologies

### A. Disease Entity Resolution (Grouping)
To prevent ""noise,"" the researchers collapsed nearly **22,000** raw disease terms into **17,080** meaningful nodes.
* **The Problem:** Ontologies often have redundant terms for the same condition (e.g., ""Infantile Autism"" vs ""Autism, Infantile"").
* **The Solution:** Used **ClinicalBERT** (NLP Model) to calculate semantic similarity.
* **The Threshold:** Terms with a **cosine similarity ≥ 0.98** were merged into a single `node_index`.

### B. Multimodality (Features vs. Edges)
PrimeKG is a **multimodal** graph, meaning it uses two types of data:
1.  **Structural Edges:** Mathematical links (e.g., `Protein-A interacts-with Protein-B`) used for graph algorithms.
2.  **Textual Features:** Large blocks of text (descriptions, symptoms, epidemiology) from **Mayo Clinic** and **Orphanet** stored directly inside the disease nodes.



---

## 5. Clinical Validation
The utility of PrimeKG was proven through a **Drug Repurposing Case Study**:
* **The Test:** Researchers checked the ""network distance"" between drugs and diseases they were approved for *after* the graph was built.
* **The Result:** In **80% of cases**, the",your_data.txt,[]
Global,gpt-4o,What is the main finding about PrimeKG's utility in drug repurposing from the study?,"The study concluded that PrimeKG can be used to predict which existing drugs might work for new diseases, as 80% of the drugs were significantly closer to the disease in the network graph than expected by random chance.","Dr. Emily Chen, a Pharmaceutical Research Scientist",Utilizing PrimeKG for drug repurposing research,5," Case Study**:
* **The Test:** Researchers checked the ""network distance"" between drugs and diseases they were approved for *after* the graph was built.
* **The Result:** In **80% of cases**, the drug was significantly closer to the disease in the graph than expected by random chance.
* **Conclusion:** This proves that PrimeKG can be used to predict which existing drugs might work for new diseases.

---

## 6. The attributes in the CSV files that we used
#### KG
- **relation**: The technical name of the link (e.g., indication, off-label use).
- **display_relation**: The human-readable version (e.g., ""treats"", ""causes side effect"").
- **x_index / y_index**: The unique numerical IDs for the two entities being linked.
- **x_id / y_id**: The external database IDs (e.g., a DrugBank ID or a Mondo ID).
- **x_type / y_type**: What kind of things they are (e.g., drug, disease, phenotype).
- **x_name / y_name**: The common names (e.g., ""Aspirin"", ""Headache"").
- **x_source / y_source** : Where this specific link was discovered (e.g., DrugBank, CTD).
#### Nodes 
- **node_index** : The primary key used to link to the other files.
- **node_id**: The official medical code (HPO, MONDO, etc.).
- **node_type**: The category (Drug, Disease, etc.).
- **node_name**: The official name of the concept.
- **node_source**: The vocabulary source (e.g.,",your_data.txt,[]
One Fact,gpt-4o,What percentage of cases showed that the drug was significantly closer to the disease in the graph than expected by random chance?,"In 80% of cases, the drug was significantly closer to the disease in the graph than expected by random chance.","Dr. Emily Chen, a Pharmaceutical Research Scientist",Utilizing PrimeKG for drug repurposing research,5," Case Study**:
* **The Test:** Researchers checked the ""network distance"" between drugs and diseases they were approved for *after* the graph was built.
* **The Result:** In **80% of cases**, the drug was significantly closer to the disease in the graph than expected by random chance.
* **Conclusion:** This proves that PrimeKG can be used to predict which existing drugs might work for new diseases.

---

## 6. The attributes in the CSV files that we used
#### KG
- **relation**: The technical name of the link (e.g., indication, off-label use).
- **display_relation**: The human-readable version (e.g., ""treats"", ""causes side effect"").
- **x_index / y_index**: The unique numerical IDs for the two entities being linked.
- **x_id / y_id**: The external database IDs (e.g., a DrugBank ID or a Mondo ID).
- **x_type / y_type**: What kind of things they are (e.g., drug, disease, phenotype).
- **x_name / y_name**: The common names (e.g., ""Aspirin"", ""Headache"").
- **x_source / y_source** : Where this specific link was discovered (e.g., DrugBank, CTD).
#### Nodes 
- **node_index** : The primary key used to link to the other files.
- **node_id**: The official medical code (HPO, MONDO, etc.).
- **node_type**: The category (Drug, Disease, etc.).
- **node_name**: The official name of the concept.
- **node_source**: The vocabulary source (e.g.,",your_data.txt,[]
Local Direct,gpt-4o,How can Dr. Smith use the attributes in the CSV file to explore alternative treatments?,"Dr. Smith can utilize the 'relation' and 'display_relation' attributes to understand the link between drugs and diseases, and 'x_name'/'y_name' for drug and disease names. This allows him to explore relationships in medical data that could influence treatment plans.","Dr. John Smith, a Clinical Practitioner",Exploring alternative treatment options for diseases,5," Case Study**:
* **The Test:** Researchers checked the ""network distance"" between drugs and diseases they were approved for *after* the graph was built.
* **The Result:** In **80% of cases**, the drug was significantly closer to the disease in the graph than expected by random chance.
* **Conclusion:** This proves that PrimeKG can be used to predict which existing drugs might work for new diseases.

---

## 6. The attributes in the CSV files that we used
#### KG
- **relation**: The technical name of the link (e.g., indication, off-label use).
- **display_relation**: The human-readable version (e.g., ""treats"", ""causes side effect"").
- **x_index / y_index**: The unique numerical IDs for the two entities being linked.
- **x_id / y_id**: The external database IDs (e.g., a DrugBank ID or a Mondo ID).
- **x_type / y_type**: What kind of things they are (e.g., drug, disease, phenotype).
- **x_name / y_name**: The common names (e.g., ""Aspirin"", ""Headache"").
- **x_source / y_source** : Where this specific link was discovered (e.g., DrugBank, CTD).
#### Nodes 
- **node_index** : The primary key used to link to the other files.
- **node_id**: The official medical code (HPO, MONDO, etc.).
- **node_type**: The category (Drug, Disease, etc.).
- **node_name**: The official name of the concept.
- **node_source**: The vocabulary source (e.g.,",your_data.txt,[]
One Fact,gpt-4o,What kind of information does the 'display_relation' attribute provide?,"The 'display_relation' attribute provides the human-readable version of the link, such as 'treats' or 'causes side effect'.","Dr. John Smith, a Clinical Practitioner",Exploring alternative treatment options for diseases,5," Case Study**:
* **The Test:** Researchers checked the ""network distance"" between drugs and diseases they were approved for *after* the graph was built.
* **The Result:** In **80% of cases**, the drug was significantly closer to the disease in the graph than expected by random chance.
* **Conclusion:** This proves that PrimeKG can be used to predict which existing drugs might work for new diseases.

---

## 6. The attributes in the CSV files that we used
#### KG
- **relation**: The technical name of the link (e.g., indication, off-label use).
- **display_relation**: The human-readable version (e.g., ""treats"", ""causes side effect"").
- **x_index / y_index**: The unique numerical IDs for the two entities being linked.
- **x_id / y_id**: The external database IDs (e.g., a DrugBank ID or a Mondo ID).
- **x_type / y_type**: What kind of things they are (e.g., drug, disease, phenotype).
- **x_name / y_name**: The common names (e.g., ""Aspirin"", ""Headache"").
- **x_source / y_source** : Where this specific link was discovered (e.g., DrugBank, CTD).
#### Nodes 
- **node_index** : The primary key used to link to the other files.
- **node_id**: The official medical code (HPO, MONDO, etc.).
- **node_type**: The category (Drug, Disease, etc.).
- **node_name**: The official name of the concept.
- **node_source**: The vocabulary source (e.g.,",your_data.txt,[]
Local Direct,gpt-4o,How can drug features related to half-life and protein binding inform dosing regimens for existing drugs?,"Drug features such as the half-life indicate how long the drug stays in the body, which is critical for dosage reasoning. Protein binding shows how the drug hitches a ride in the blood, helping predict optimal dosing regimens and drug efficacy.","Dr. Emily Carter, a research scientist focusing on drug discovery",Identifying drug mechanisms to improve treatment efficacy,6," etc.).
- **node_type**: The category (Drug, Disease, etc.).
- **node_name**: The official name of the concept.
- **node_source**: The vocabulary source (e.g., MSH for MeSH).
#### drug_features
- **description**: A general overview of the drug.
- **half_life** : How long the drug stays in the body (critical for dosage reasoning).
- **indication** : The specific medical condition the drug is approved to treat.
- **mechanism_of_action** : (CRITICAL) The biological ""how""—which receptors it hits.
- **protein_binding** : How the drug hitches a ride in the blood.
- **pharmacodynamics** : The effect the drug has on the body.
- **state** : Physical state (Solid, Liquid, etc.).
- **atc_1 through atc_4** : Anatomical Therapeutic Chemical classification (a hierarchy of what organ system the drug targets).
- **category / group** : Labels like ""Analgesic"" or ""Approved"".
- **pathway**: The biological ""road"" the drug travels in the cell.
- **molecular_weight / tpsa / clogp**: Chemical properties (less relevant for diagnosis, more for drug discovery).

#### disease_features
- **mondo_id / mondo_name** : Official identifier and name in the Mondo Disease Ontology.

- **group_id_bert / group_name_bert**: AI-clustered disease groups (useful for machine learning tasks).

- **mondo_definition**: (CRITICAL) The textbook definition of the disease.

- **umls_description**: A secondary description from the Unified Medical",your_data.txt,[]
One Fact,gpt-4o,What features of a drug explain its biological mechanism of action?,"The mechanism_of_action in the drug_features provides this information, as it details the biological 'how'—which receptors the drug interacts with.","Dr. Emily Carter, a research scientist focusing on drug discovery",Identifying drug mechanisms to improve treatment efficacy,6," etc.).
- **node_type**: The category (Drug, Disease, etc.).
- **node_name**: The official name of the concept.
- **node_source**: The vocabulary source (e.g., MSH for MeSH).
#### drug_features
- **description**: A general overview of the drug.
- **half_life** : How long the drug stays in the body (critical for dosage reasoning).
- **indication** : The specific medical condition the drug is approved to treat.
- **mechanism_of_action** : (CRITICAL) The biological ""how""—which receptors it hits.
- **protein_binding** : How the drug hitches a ride in the blood.
- **pharmacodynamics** : The effect the drug has on the body.
- **state** : Physical state (Solid, Liquid, etc.).
- **atc_1 through atc_4** : Anatomical Therapeutic Chemical classification (a hierarchy of what organ system the drug targets).
- **category / group** : Labels like ""Analgesic"" or ""Approved"".
- **pathway**: The biological ""road"" the drug travels in the cell.
- **molecular_weight / tpsa / clogp**: Chemical properties (less relevant for diagnosis, more for drug discovery).

#### disease_features
- **mondo_id / mondo_name** : Official identifier and name in the Mondo Disease Ontology.

- **group_id_bert / group_name_bert**: AI-clustered disease groups (useful for machine learning tasks).

- **mondo_definition**: (CRITICAL) The textbook definition of the disease.

- **umls_description**: A secondary description from the Unified Medical",your_data.txt,[]
Global,gpt-4o,What overarching information within drug features helps ensure effective medication therapy management?,"The drug_features provide critical data such as indication, pharmacodynamics, half-life, and protein binding, which are essential for selecting appropriate medications, advising dosages, and ensuring effective drug therapy management.","Tom Nguyen, a clinical pharmacist specializing in medication management",Ensuring optimal patient-specific drug therapy,6," etc.).
- **node_type**: The category (Drug, Disease, etc.).
- **node_name**: The official name of the concept.
- **node_source**: The vocabulary source (e.g., MSH for MeSH).
#### drug_features
- **description**: A general overview of the drug.
- **half_life** : How long the drug stays in the body (critical for dosage reasoning).
- **indication** : The specific medical condition the drug is approved to treat.
- **mechanism_of_action** : (CRITICAL) The biological ""how""—which receptors it hits.
- **protein_binding** : How the drug hitches a ride in the blood.
- **pharmacodynamics** : The effect the drug has on the body.
- **state** : Physical state (Solid, Liquid, etc.).
- **atc_1 through atc_4** : Anatomical Therapeutic Chemical classification (a hierarchy of what organ system the drug targets).
- **category / group** : Labels like ""Analgesic"" or ""Approved"".
- **pathway**: The biological ""road"" the drug travels in the cell.
- **molecular_weight / tpsa / clogp**: Chemical properties (less relevant for diagnosis, more for drug discovery).

#### disease_features
- **mondo_id / mondo_name** : Official identifier and name in the Mondo Disease Ontology.

- **group_id_bert / group_name_bert**: AI-clustered disease groups (useful for machine learning tasks).

- **mondo_definition**: (CRITICAL) The textbook definition of the disease.

- **umls_description**: A secondary description from the Unified Medical",your_data.txt,[]
One Fact,gpt-4o,Which classification details within drug features can assist in understanding drug categories for patient education?,The classification details atc_1 through atc_4 in drug_features help understand the drug categories for patient education.,"Tom Nguyen, a clinical pharmacist specializing in medication management",Ensuring optimal patient-specific drug therapy,6," etc.).
- **node_type**: The category (Drug, Disease, etc.).
- **node_name**: The official name of the concept.
- **node_source**: The vocabulary source (e.g., MSH for MeSH).
#### drug_features
- **description**: A general overview of the drug.
- **half_life** : How long the drug stays in the body (critical for dosage reasoning).
- **indication** : The specific medical condition the drug is approved to treat.
- **mechanism_of_action** : (CRITICAL) The biological ""how""—which receptors it hits.
- **protein_binding** : How the drug hitches a ride in the blood.
- **pharmacodynamics** : The effect the drug has on the body.
- **state** : Physical state (Solid, Liquid, etc.).
- **atc_1 through atc_4** : Anatomical Therapeutic Chemical classification (a hierarchy of what organ system the drug targets).
- **category / group** : Labels like ""Analgesic"" or ""Approved"".
- **pathway**: The biological ""road"" the drug travels in the cell.
- **molecular_weight / tpsa / clogp**: Chemical properties (less relevant for diagnosis, more for drug discovery).

#### disease_features
- **mondo_id / mondo_name** : Official identifier and name in the Mondo Disease Ontology.

- **group_id_bert / group_name_bert**: AI-clustered disease groups (useful for machine learning tasks).

- **mondo_definition**: (CRITICAL) The textbook definition of the disease.

- **umls_description**: A secondary description from the Unified Medical",your_data.txt,[]
Global,gpt-4o,What are the main critical components needed to enhance diagnostic accuracy using the disease dataset?,"The critical components needed to enhance diagnostic accuracy using the disease dataset include the mondo_definition for precise disease categorization, orphanet_prevalence for understanding research priorities, mayo_symptoms to refine diagnostic criteria, and mayo_risk_factors for assessing disease progression and complications.","Dr. Emily Chen, Clinical Researcher",Assessing rare disease prevalence and diagnostic criteria,7,"ered disease groups (useful for machine learning tasks).

- **mondo_definition**: (CRITICAL) The textbook definition of the disease.

- **umls_description**: A secondary description from the Unified Medical Language System.

- **orphanet_definition / epidemiology / clinical_description**: Deep data for rare diseases (Orphanet focus).

- **orphanet_prevalence**: How common the disease is (essential for calculating probability).

- **mayo_symptoms**: (CRITICAL for DDXPlus) A list of symptoms used to diagnose the disease.

- **mayo_causes**: What triggers the disease (environmental, genetic, etc.).

- **mayo_risk_factors / complications**: What makes the disease worse and what it can lead to.

- **mayo_prevention**: How to avoid it.

- **mayo_see_doc**: ""Red flag"" signs that mean the patient needs an emergency room.


",your_data.txt,[]
